Parafia	Miejscowość	Adres	Diecezja	Dekanat	Województwo
Św. Marcelina	Rogalin	Św. Marcelina|ul. Arciszewskiego 10|62-022 Rogalin|woj. wielkopolskie	poznańska	Kórnik	wielkopolskie
św. Marcina	Pilchowice, Stanica	św. Marcina|ul. Gliwicka 16|44-145 Pilchowice, Stanica|woj. śląskie	gliwicka	Gliwice Ostropa	śląskie
św. Marcina	Pawłowo	św. Marcina|Pawłowo 27|62-250 Pawłowo|woj. wielkopolskie	gnieźnieńska	gnieźniński >1<	wielkopolskie
św. Marcina	Palędzie Kościelne	św. Marcina|Palędzie Kościelne 3|88-314 Palędzie Kościelne	gnieźnieńska	mogileński	
św. Marcina	Dziekanowice	św. Marcina|Dziekanowice 50|62-261 Dziekanowice|woj. wielkopolskie	gnieźnieńska	pobiedziski	wielkopolskie
św. Marcina	Żoń	św. Marcina|Żoń 1|64-830 Żoń|woj. wielkopolskie	gnieźnieńska	wagrowiecki	wielkopolskie
św. Marcina	Ostrowite Prymasowskie	św. Marcina|Ostrowite Prymasowskie 22|62-230 Ostrowite Prymasowskie|woj. wielkopolskie	gnieźnieńska	witkowski	wielkopolskie
św. Marcina	Jarząbkowo	św. Marcina|Jarząbkowo 2|62-220 Jarząbkowo|woj. wielkopolskie	gnieźnieńska	wrzesiński I	wielkopolskie
św. Marcina	Kaczanowo	św. Marcina|ul. Kościelna 37|62-303 Kaczanowo|woj. wielkopolskie	gnieźnieńska	wrzesiński II	wielkopolskie
św. Marcina	Żnin	św. Marcina|ul. Pałucka 1|88-400 Żnin|woj. kujawsko-pomorskie	gnieźnieńska	żniński	kujawsko-pomorskie
św. Marcina	Chlewo	św. Marcina|Chlewo 5a|63-520 Chlewo|woj. wielkopolskie	kaliska	grabowski	wielkopolskie
św. Marcina	Jarocin	św. Marcina|ul. Kardynała Wyszyńskiego 3|63-200 Jarocin|woj. wielkopolskie	kaliska	jarociński	wielkopolskie
św. Marcina	Donaborów	św. Marcina|Donaborów 88|63-600 Donaborów|woj. wielkopolskie	kaliska	kępiński	wielkopolskie
św. Marcina	Odolanów	św. Marcina|ul. Rynek 9|63-430 Odolanów|woj. wielkopolskie	kaliska	odolanowski	wielkopolskie
św. Marcina	Piątek Wielki	św. Marcina|Piątek Wielki 17|62-820 Piątek Wielki|woj. wielkopolskie	kaliska	stawiszyński	wielkopolskie
św. Marcina	Kołobrzeg	św. Marcina|ul. Portowa 20|78-100 Kołobrzeg|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Kołobrzeg	zachodniopomorskie
św. Marcina	Koszalin	św. Marcina|ul. Zwycięstwa 202 A|75-901 Koszalin	koszlińsko-kołobrzeska	Koszalin	
św. Marcina	Wiśniowa	św. Marcina|Wiśniowa 1a|32-412 Wiśniowa|woj. małopolskie	krakowska	Dobczyce	małopolskie
św. Marcina	Podwilk	św. Marcina|Podwilk 289|34-722 Podwilk|woj. małopolskie	krakowska	Jabłonka	małopolskie
św. Marcina	Bystra Podhalańska	św. Marcina|Bystra Podhalańska 2|34-235 Bystra Podhalańska|woj. małopolskie	krakowska	Jordanów	małopolskie
św. Marcina	Krzeszowice	św. Marcina|ul. Grunwaldzka 1|32-065 Krzeszowice|woj. małopolskie	krakowska	Krzeszowice	małopolskie
św. Marcina	Krempachy	św. Marcina|Krempachy ul. Kamieniec 25|34-433 Krempachy|woj. małopolskie	krakowska	Niedzica	małopolskie
św. Marcina	Biskupice	św. Marcina|Biskupice 5|32-020 Biskupice|woj. małopolskie	krakowska	Niegowić	małopolskie
św. Marcina	Klikuszowa	św. Marcina|Klikuszowa 221|34-404 Klikuszowa|woj. małopolskie	krakowska	Nowy Targ	małopolskie
św. Marcina	Marcyporęba	św. Marcina|Marcyporęba 85|34-114 Marcyporęba|woj. małopolskie	krakowska	Wadowice Pónoc	małopolskie
św. Marcina	Jawor	św. Marcina|ul. św. Marcina 1|59-400 Jawor|woj. dolnośląskie	legnicka	Jawor	dolnośląskie
św. Marcina	Pomocne	św. Marcina|Pomocne 41|59-424 Pomocne|woj. dolnośląskie	legnicka	Świerzawa	dolnośląskie
św. Marcina	Poznań	św. Marcina|ul. Św. Marcin 13|61-803 Poznań|woj. wielkopolskie	poznańska	Poznań-Stare Miasto	wielkopolskie
św. Marcina	Bukówiec Górny	św. Marcina|ul. Powst. Wlkp. 113|64-141 Bukówiec Górny|woj. wielkopolskie	poznańska	Przemęt	wielkopolskie
św. Marcina	Łaszczyn	św. Marcina|Łaszczyn 30|63-900 Łaszczyn|woj. wielkopolskie	poznańska	Rawicz	wielkopolskie
św. Marcina	Kaczkowo	św. Marcina|Kaczkowo 9|64-131 Kaczkowo	poznańska	Rydzyna	
św. Marcina	Granowo	św. Marcina|ul. Szkolna 2|62-066 Granowo|woj. wielkopolskie	poznańska	Stęszew	wielkopolskie
św. Marcina	Konarzewo	św. Marcina|ul. Kościelna 2|62-071 Konarzewo|woj. wielkopolskie	poznańska	Stęszew	wielkopolskie
św. Marcina	Swarzędz	św. Marcina|ul. św. Marcina 38|62-020 Swarzędz|woj. wielkopolskie	poznańska	Swarzędz	wielkopolskie
św. Marcina	Długie Stare	św. Marcina|ul. Wiosenna 2|64-100 Długie Stare|woj. wielkopolskie	poznańska	Święciechowa	wielkopolskie
św. Marcina	Wilkowice	św. Marcina|ul. Święciechowska 4|64-115 Wilkowice|woj. wielkopolskie	poznańska	Święciechowa	wielkopolskie
św. Marcina	Wrocki	św. Marcina|Wrocki 7|87-400 Wrocki|woj. kujawsko-pomorskie	toruńska	Golub	kujawsko-pomorskie
św. Marcina	Grążawy	św. Marcina|Grążawy 47|87-321 Grążawy|woj. kujawsko-pomorskie	toruńska	Górzno	kujawsko-pomorskie
św. Marcina	Boleszyn	św. Marcina|Boleszyn 9|13-308 Boleszyn	toruńska	Rybnowo Pomorskie	
św. Marcina	Siciny	św. Marcina|Siciny 77|56-215 Siciny|woj. dolnośląskie	wrocławska	Góra Śląska-Zachód	dolnośląskie
św. Marcina	Święte	św. Marcina|Święte 61|55-300 Święte|woj. dolnośląskie	wrocławska	Mękinia	dolnośląskie
św. Marcina	Barkowo	św. Marcina|Barkowo 68a|55-140 Barkowo|woj. dolnośląskie	wrocławska	Prusice	dolnośląskie
św. Marcina	Nowolesie	św. Marcina|Biały Kościół 25 A|57-100 Nowolesie|woj. dolnośląskie	wrocławska	Strzelin	dolnośląskie
św. Marcina	Kulin	św. Marcina|Kulin 39|55-300 Kulin|woj. dolnośląskie	wrocławska	Środa Śląska	dolnośląskie
św. Marcina	Owczary	św. Marcina|Owczary 53|55-200 Owczary|woj. dolnośląskie	wrocławska	Wiązów	dolnośląskie
św. Marcina	Krzelów	św. Marcina|ul. Słoneczna 35|56-160 Krzelów|woj. dolnośląskie	wrocławska	Wołów	dolnośląskie
św. Marcina	Kotla	św. Marcina|Kotla 47|67-240 Kotla|woj. dolnośląskie	zielonogórsko-gorzowska	Sława	dolnośląskie
św. Marcina	Świdnica	św. Marcina|ul. Długa 26|66-008 Świdnica|woj. lubuskie	zielonogórsko-gorzowska	Zielona Góra-Ducha Świętego	lubuskie
Św. Marcina	Szubin	Św. Marcina|Pl. Kościelny 3|89-200 Szubin|woj. kujawsko-pomorskie	bydgoska	Szubin	kujawsko-pomorskie
Św. Marcina	Wiewiec	Św. Marcina|Wiewiec 12|98-337 Wiewiec|woj. łódzkie	częstochowska	BRZEŹNICKI	łódzkie
Św. Marcina	Łebcz	Św. Marcina|Łebcz ul. Ks. Wielewskiego 2|84-103 Łebcz|woj. pomorskie	gdańska	Puck	pomorskie
Św. Marcina	Lelów	Św. Marcina|ul. Żarecka 2|42-235 Lelów|woj. śląskie	kielecka	Lelów	śląskie
Św. Marcina	Wrocieryż	Św. Marcina|Wrocieryż 48|28-411 Wrocieryż|woj. świętokrzyskie	kielecka	Pińczów	świętokrzyskie
Św. Marcina	Sierakowice	Św. Marcina|ul. Kartuska 1|83-340 Sierakowice|woj. pomorskie	pelplińska	Sierakowice	pomorskie
Św. Marcina	Stara Kiszewa	Św. Marcina|ul. Tysiąclecia 28|83-430 Stara Kiszewa|woj. pomorskie	pelplińska	Zblewo	pomorskie
Św. Marcina	Szebnie	Św. Marcina|Szebnie 45|38-203 Szebnie|woj. podkarpackie	rzeszowska	Jasło-Wschód	podkarpackie
Św. Marcina	Czarnowo	Św. Marcina|Czarnowo 20|87-134 Czarnowo|woj. kujawsko-pomorskie	toruńska	Bierzgłowo	kujawsko-pomorskie
Św. Marcina	Stryków	Św. Marcina|ul.Warszawska 42|95-010 Stryków|woj. łódzkie	łódzka	Stryków	łódzkie
Św. Marcina	OSMOLIN	Św. Marcina|Osmolinul.Kościelna 22|09-540 OSMOLIN|woj. mazowieckie	łowicka	Sanniki	mazowieckie
Św. Marcina	SŁUBICE	Św. Marcina|ul.Wiślana 1|09-533 SŁUBICE|woj. mazowieckie	łowicka	Sanniki	mazowieckie
Św. Marcina	OPORÓW	Św. Marcina|Oporów 3|99-322 OPORÓW|woj. łódzkie	łowicka	Żychlin	łódzkie
Św. Marcina	UJAZD GÓRNY	Św. Marcina|Ujazd Górny 40|55-341 UJAZD GÓRNY	świdnicka	Gościsław	
Św. Marcina	ŻELAZNO	Św. Marcina|Żelazno 128|57-361 ŻELAZNO|woj. dolnośląskie	świdnicka	Lądek Zdrój	dolnośląskie
Św. Marcina	ROZTOKI	Św. Marcina|Roztoki 19|57-530 ROZTOKI|woj. dolnośląskie	świdnicka	Międzylesie	dolnośląskie
Św. Marcina	DZIKOWIEC	Św. Marcina|Dzikowiec 88|57-432 DZIKOWIEC|woj. dolnośląskie	świdnicka	Nowa Ruda	dolnośląskie
Św. Marcina	KOSZALIN	Św. Marcina|ul.Zwycięstwa 202 A|75-901 KOSZALIN	ordynariat polowy	Pomorski Okręg Wojskowy	
Św. Marcina	Wojkowice Kościelne	Św. Marcina|ul.Kościelna 3|42-510 Wojkowice Kościelne	sosnowiecka	Siewierz	
Św. Marcina	Zadroże	Św. Marcina|Zadroże 84|32-353 Zadroże	sosnowiecka	Sułoszowa	
Św. Marcina	Poręba Dierżna	Św. Marcina|Poręba Dzierżna 1|32-340 Poręba Dierżna	sosnowiecka	Wolbrom-Św.Katarzyny	
Św. Marcina	GIERAŁTOWICE	Św. Marcina|Gierałtowice 64|34-122 GIERAŁTOWICE|woj. małopolskie	bielsko-żywiecka	Andrychów	małopolskie
Św. Marcina	Ćwilkice	Św. Marcina|ul. Zawadzkiego 9|43-229 Ćwilkice|woj. śląskie	katowicka	Miedźna	śląskie
Św. Marcina	Poręba Żygoty	Św. Marcina|Poręba Żegoty 8|32-566 Poręba Żygoty|woj. małopolskie	krakowska	Babice	małopolskie
Św. Marcina	Lublin-Zemborzyce	Św. Marcina|ul. Krężnicka 134|20-515 Lublin-Zemborzyce|woj. lubelskie	lubelska	Konopnica	lubelskie
Św. Marcina	Tolkowiec	Św. Marcina|Tolkowiec 4|14-526 Tolkowiec|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Braniewo	warmińsko-mazurskie
Św. Marcina	Ostróda	Św. Marcina|ul. Paderewskiego 1a|14-100 Ostróda|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Ostróda II - Zachód	warmińsko-mazurskie
Św. Marcina	Ełdyty Wielkie	Św. Marcina|Ełdyty Wielkie 8|14-310 Ełdyty Wielkie|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Świątki	warmińsko-mazurskie
Św. Marcina	Gołuszowice	Św. Marcina|Gołuszowice 79|48-100 Gołuszowice|woj. opolskie	opolska	Głubczyce	opolskie
Św. Marcina	Lipowa	Św. Marcina|Lipowa 81|49-220 Lipowa	opolska	Grodków	
Św. Marcina	Ochodze	Św. Marcina|Ochodzeul. Myśliwska 10|46-070 Ochodze|woj. opolskie	opolska	Prószków	opolskie
Św. Marcina	Barłożno	Św. Marcina|Barłożno 62|83-225 Barłożno	pelplińska	Skórcz	
Św. Marcina	Gostycyn	Św. Marcina|ul. Główna 46|89-520 Gostycyn|woj. kujawsko-pomorskie	pelplińska	Tuchola	kujawsko-pomorskie
Św. Marcina	Bukowiec	Św. Marcina|ul. Kościelna 27|64-333 Bukowiec|woj. wielkopolskie	poznańska	Grodzisk	wielkopolskie
Św. Marcina	Szkaradowo	Św. Marcina|Szkaradowo 3|63-932 Szkaradowo	poznańska	Jutrosin	
Św. Marcina	Przysietnica	Św. Marcina|Przysietnica 855|36-202 Przysietnica	przemyska (łac)	Brzozów	
Św. Marcina	Boratyn	Św. Marcina|Boratyn|37-561 Boratyn|woj. podkarpackie	przemyska (łac)	Pruchnik	podkarpackie
Św. Marcina	Gostynin	Św. Marcina|ul. Jana Pawła II 15|09-500 Gostynin|woj. mazowieckie	płocka	Gostynin	mazowieckie
Św. Marcina	Słupno	Św. Marcina|ul. Kościelna 1|09-472 Słupno|woj. mazowieckie	płocka	Płock-Wschód	mazowieckie
Św. Marcina	Zawidz Kościelny	Św. Marcina|ul. Mazowiecka 33|09-226 Zawidz Kościelny|woj. mazowieckie	płocka	Sierpc	mazowieckie
Św. Marcina	Mochowo	Św. Marcina|Mochowo 1|09-214 Mochowo|woj. mazowieckie	płocka	Tłuchowo	mazowieckie
Św. Marcina	Tomaszów Mazowiecki	Św. Marcina|ul. Gminna 21|97-206 Tomaszów Mazowiecki	radomska	Toamszów Mazowiecki	
Św. Marcina	Opatów	Św. Marcina|"ul. gen. S. ""Grota"" Roweckiego" 8|27-500 Opatów|woj. świętokrzyskie	sandomierska	Opatów	świętokrzyskie
Św. Marcina	Kopki	Św. Marcina|ul. Kwiecińskiego 10|37-420 Kopki|woj. podkarpackie	sandomierska	Rudnik	podkarpackie
Św. Marcina	Mazowsze	Św. Marcina|Mazowsze 1|87-641 Mazowsze	włocławska	Czernikowo	
św. Marcina B.	Czarny Potok	św. Marcina B.|Czarny Potok 23|33-390 Czarny Potok|woj. małopolskie	tarnowska	Łącko	małopolskie
św. Marcina B.	Łużna	św. Marcina B.|Łużna 6|38-322 Łużna|woj. małopolskie	tarnowska	Łużna	małopolskie
św. Marcina B.	Mogilno	św. Marcina B.|Mogilno 145|33-236 Mogilno	tarnowska	Nowy Sącz-Wschód	
św. Marcina Biskupa	Paczyna	św. Marcina Biskupa|ul. Wiejska 67|44-174 Paczyna	gliwicka	Płachowice	
św. Marcina Biskupa	Gnojnik	św. Marcina Biskupa|Gnojnik 7|32-864 Gnojnik|woj. małopolskie	tarnowska	Brzesko	małopolskie
św. Marcina Biskupa	Grywałd	św. Marcina Biskupa|ul. Kościelna 6|34-450 Grywałd|woj. małopolskie	tarnowska	Krościenko n. Dunajcem	małopolskie
św. Marcina Biskupa	Marcinkowice	św. Marcina Biskupa|ul. Szkolna 5|55-200 Marcinkowice|woj. dolnośląskie	wrocławska	Oława	dolnośląskie
Św. Marcina Biskupa	Nowa Cerkiew	Św. Marcina Biskupa|Nowa Cerkiew 30|82-112 Nowa Cerkiew	elbląska	NOWY STAW	
Św. Marcina Biskupa	Tarnawa	Św. Marcina Biskupa|Sędziszów Tarnawa nr 111|28-340 Tarnawa|woj. świętokrzyskie	kielecka	Sędziszów	świętokrzyskie
Św. Marcina Biskupa	Tarnów Opolski	Św. Marcina Biskupa|ul. Ks. Klimasa 18|46-050 Tarnów Opolski|woj. opolskie	opolska	Kamień Śląski	opolskie
Św. Marcina Biskupa	Góra Pabianicka	Św. Marcina Biskupa|Górka Pabianicka 58|95-200 Góra Pabianicka|woj. łódzkie	łódzka	Pabianice	łódzkie
Św. Marcina Biskupa	SIEDLEC	Św. Marcina Biskupa|Siedlce 18|99-104 SIEDLEC	łowicka	Łęczyca	
Św. Marcina Biskupa	PIŁAWA GÓRNA	Św. Marcina Biskupa|ul.Sienkiewicza 32|58-241 PIŁAWA GÓRNA|woj. dolnośląskie	świdnicka	Dzierżoniów-Południe	dolnośląskie
Św. Marcina Biskupa	Stary Las	Św. Marcina Biskupa|Stary Lasul. Wiejska 125|48-335 Stary Las	opolska	Głuchołazy	
Św. Marcina Biskupa	Strzeleczki	Św. Marcina Biskupa|ul. Kościelna 2|47-364 Strzeleczki|woj. opolskie	opolska	Krapkowice	opolskie
Św. Marcina Biskupa	Ratnowice	Św. Marcina Biskupa|Ratnowice 54|48-367 Ratnowice	opolska	Otmuchów	
Św. Marcina Biskupa	Lipniki	Św. Marcina Biskupa|Lipniki 101|48-388 Lipniki|woj. opolskie	opolska	Paczków	opolskie
Św. Marcina Biskupa	Jasienica Dolna	Św. Marcina Biskupa|Jasienica Dolna 22|48-315 Jasienica Dolna|woj. opolskie	opolska	Skoroszyce	opolskie
Św. Marcina Biskupa	Mchy	Św. Marcina Biskupa|Mchy 28|63-132 Mchy	poznańska	Borek	
Św. Marcina Biskupa	Strzelce Wielkie	Św. Marcina Biskupa|Strzelce Wielkie 4|63-820 Strzelce Wielkie|woj. wielkopolskie	poznańska	Gostyń	wielkopolskie
Św. Marcina Biskupa	Duszniki	Św. Marcina Biskupa|ul. Jana Pawła II 114|64-550 Duszniki|woj. wielkopolskie	poznańska	Pniewy	wielkopolskie
Św. Marcina Biskupa	Połaniec	Św. Marcina Biskupa|ul. Kard. Wyszyńskiego 2|28-230 Połaniec|woj. świętokrzyskie	sandomierska	Połaniec	świętokrzyskie
Św. Marcina Biskupa	Stężyca	Św. Marcina Biskupa|ul. Kościelna 2|08-540 Stężyca|woj. lubelskie	siedlecka	Ryki	lubelskie
Św. Marcina Biskupa	Chwalborzyce	Św. Marcina Biskupa|Chwalborzyce 13|99-140 Chwalborzyce|woj. łódzkie	włocławska	Uniejów	łódzkie
Św. Marcina Biskupa	Kamionacz	Św. Marcina Biskupa|Kamionacz 4|98-290 Kamionacz|woj. łódzkie	włocławska	Warta	łódzkie
Św. Marcina Biskupa i Męczennika	CHOJNATA	Św. Marcina Biskupa i Męczennika|Chojnata 27|91-111 CHOJNATA|woj. łódzkie	łowicka	Mszczonów	łódzkie
Św. Marcina Biskupa i Męczennika	OSZKOWICE	Św. Marcina Biskupa i Męczennika|Oszkowice 41|99-423 OSZKOWICE|woj. łódzkie	łowicka	Piątek	łódzkie
Św. Marcina Biskupa i Męczennika	WYSOKIENICE	Św. Marcina Biskupa i Męczennika|Wysokienice 24|96-130 WYSOKIENICE|woj. łódzkie	łowicka	Rawa Mazowiecka	łódzkie
Św. Marcina Biskupa i Św. Jakuba Apostoła	Cierno	Św. Marcina Biskupa i Św. Jakuba Apostoła|Cierno 63|28-300 Cierno|woj. świętokrzyskie	kielecka	Jędrzejów	świętokrzyskie
św. Marcina Biskupa i Wyznawcy	Lisów Hadra, Cieszowa	św. Marcina Biskupa i Wyznawcy|ul. Szkolna 27|42-714 Lisów Hadra, Cieszowa|woj. śląskie	gliwicka	Sadów	śląskie
św. Marcina Biskupa i Wyznawcy	Tarnowskie Góry Stare Tarnowice	św. Marcina Biskupa i Wyznawcy|ul. Niedziałkowskiego 2|42-612 Tarnowskie Góry Stare Tarnowice|woj. śląskie	gliwicka	Stare Tarnowice	śląskie
Św. Marcina Biskupa i Wyznawcy	Pacanów	Św. Marcina Biskupa i Wyznawcy|ul. Kościelna 24|28-133 Pacanów|woj. świętokrzyskie	kielecka	Stopnica	świętokrzyskie
Św. Marcina Biskupa i Wyznawcy	Radzanów	Św. Marcina Biskupa i Wyznawcy|Radzanów 82|26-807 Radzanów|woj. mazowieckie	radomska	Przytyk	mazowieckie
św. Marcina, biskupa z Tours	Gwieżdzin	św. Marcina, biskupa z Tours|Gwieździn 34|77-304 Gwieżdzin|woj. pomorskie	koszlińsko-kołobrzeska	Czarne	pomorskie
św. Marcina Biskupa z Tours	Górale	św. Marcina Biskupa z Tours|Górale|87-330 Górale|woj. kujawsko-pomorskie	toruńska	Jabłonowo Pomorskie	kujawsko-pomorskie
Św. Marcina Biskupa z Tours	Sarnowo	Św. Marcina Biskupa z Tours|Sarnowo 25|86-212 Sarnowo|woj. kujawsko-pomorskie	toruńska	Chełmno	kujawsko-pomorskie
św. Marcina Bp.	Jaksice	św. Marcina Bp.|ul. Powstańców Wlkp. 6|88-181 Jaksice|woj. kujawsko-pomorskie	gnieźnieńska	złotnicki	kujawsko-pomorskie
Św. Marcina Bp	Stara Wiśniewka	Św. Marcina Bp|Stara Wisienka nr 69|77-424 Stara Wiśniewka|woj. wielkopolskie	bydgoska	Złotów I	wielkopolskie
św. Marcina Bpa	Kępno	św. Marcina Bpa|ul. Kościuszki 3|63-600 Kępno|woj. wielkopolskie	kaliska	kępiński	wielkopolskie
św. Marcina Bpa	Walichnowy	św. Marcina Bpa|Walichnowy Aleja Wyzwolenia 7|98-420 Walichnowy|woj. łódzkie	kaliska	lututowski	łódzkie
św. Marcina Bpa	Kuczków	św. Marcina Bpa|Kuczków ul. Parkowa 2|63-300 Kuczków|woj. wielkopolskie	kaliska	pleszewski	wielkopolskie
św. Marcina Bpa	Godynice	św. Marcina Bpa|Godynice 6|98-277 Godynice|woj. łódzkie	kaliska	złoczewski	łódzkie
św. Marcina Bpa	Zwiernik	św. Marcina Bpa|Zwiernik 241|39-221 Zwiernik|woj. podkarpackie	tarnowska	Pilzno	podkarpackie
Św. Marcina Bpa	Wyrzysk	Św. Marcina Bpa|pl. Wojska Polskiego 9|89-300 Wyrzysk|woj. wielkopolskie	bydgoska	Wyrzysk	wielkopolskie
Św. Marcina BW	Siemkowice	Św. Marcina BW|ul. 18 Stycznia 19|98-354 Siemkowice|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie
Św. Marcina BW	Kłobuck	Św. Marcina BW|ul. 11 Listopada 1/1|42-100 Kłobuck|woj. śląskie	częstochowska	KŁOBUCKI	śląskie
Św. Marcina BW	Kłomnice	Św. Marcina BW|ul. Częstochowska 106|42-270 Kłomnice|woj. śląskie	częstochowska	KŁOMNICKI	śląskie
Św. Marcina BW	Żytniów	Św. Marcina BW|Żytniów 35|46-325 Żytniów|woj. opolskie	częstochowska	PRASZKOWSKI	opolskie
św. Marcina B. i MB Pocieszenia	Czermna	św. Marcina B. i MB Pocieszenia|Czermna 101|33-121 Czermna|woj. małopolskie	tarnowska	Ołpiny	małopolskie
Św. Marcina i Matki Bożej Szkaplerznej	Zarszyn	Św. Marcina i Matki Bożej Szkaplerznej|Zarszyn 176|38-530 Zarszyn|woj. podkarpackie	przemyska (łac)	Jaćmierz	podkarpackie
Św. Marcina i Mikołaja - Katedra Bydgoska	Bydgoszcz	Św. Marcina i Mikołaja - Katedra Bydgoska|ul. Farna 2|85-101 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz II	kujawsko-pomorskie
Św. Marcina i Św. Małgorzaty	Lignowy	Św. Marcina i Św. Małgorzaty|Lignowy|83-121 Lignowy	pelplińska	Gniew	
Św. Marcina i Św. Mikołaja	Kuflew	Św. Marcina i Św. Mikołaja|Kuflew 9|05-320 Kuflew|woj. mazowieckie	warszawsko-praska	Siennica	mazowieckie
Św. Marcina i Św. Rocha	Jesionowo	Św. Marcina i Św. Rocha|Jesionowo|11-040 Jesionowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Dobre Miasto	warmińsko-mazurskie
św. Marcina i św. Stanisława Bpa	Goszczanów	św. Marcina i św. Stanisława Bpa|Goszczanów 156|98-215 Goszczanów|woj. łódzkie	kaliska	koźminkowski	łódzkie
św. Marcina i św. Stanisława Bpa	Rakoniewice	św. Marcina i św. Stanisława Bpa|ul. Krystyny 25 a|62-067 Rakoniewice|woj. wielkopolskie	poznańska	Wolsztyn	wielkopolskie
św. Marcina i św. Wincentego M.	Skórzewo	św. Marcina i św. Wincentego M.|ul. Poznańska 66|60-185 Skórzewo|woj. wielkopolskie	poznańska	Przeźmierowo	wielkopolskie
Św. Marcina z Tours	KROSNO ODRZAŃSKIE	Św. Marcina z Tours|ul.Piastów 8 B|66-600 KROSNO ODRZAŃSKIE|woj. lubuskie	ordynariat polowy	Śląski Okręg Wojskowy	lubuskie
św. Marii Magdaleny	Mikaszówka	św. Marii Magdaleny|16-307 Mikaszówka	ełcka	Lipsk - p.w. Błog. Męczennic: Marianny Biernackiej i S. Julii Rapiej	
św. Marii Magdaleny	Kuźnica Raciborska	św. Marii Magdaleny|ul. Kościelna 14|47-420 Kuźnica Raciborska|woj. śląskie	gliwicka	Kuźnica Raciborska	śląskie
św. Marii Magdaleny	Długa Goślińska	św. Marii Magdaleny|Długa Goślina 24|62-097 Długa Goślińska|woj. wielkopolskie	gnieźnieńska	gośliński	wielkopolskie
św. Marii Magdaleny	Ryszewko	św. Marii Magdaleny|Ryszewko|88-411 Ryszewko	gnieźnieńska	rogowski	
św. Marii Magdaleny	Brudzewo	św. Marii Magdaleny|Brudzewo 35|62-422 Brudzewo	gnieźnieńska	strzałkowski	
św. Marii Magdaleny	Kwieciszewo	św. Marii Magdaleny|Kwieciszewo 1|88-321 Kwieciszewo|woj. kujawsko-pomorskie	gnieźnieńska	strzeliński	kujawsko-pomorskie
św. Marii Magdaleny	Kalinowa	św. Marii Magdaleny|Kalinowa 15|98-235 Kalinowa|woj. łódzkie	kaliska	błaszkowski	łódzkie
św. Marii Magdaleny	Mieleszyn	św. Marii Magdaleny|Mieleszyn 211|98-430 Mieleszyn|woj. łódzkie	kaliska	bolesławicki	łódzkie
św. Marii Magdaleny	Sośnica	św. Marii Magdaleny|Sośnica 89|63-330 Sośnica|woj. wielkopolskie	kaliska	dobrzycki	wielkopolskie
św. Marii Magdaleny	Kokanin	św. Marii Magdaleny|Kokanin 41|62-817 Kokanin|woj. wielkopolskie	kaliska	kaliski I	wielkopolskie
św. Marii Magdaleny	Krotoszyn	św. Marii Magdaleny|ul. Wiejska 37A|63-700 Krotoszyn|woj. wielkopolskie	kaliska	krotoszyński	wielkopolskie
św. Marii Magdaleny	Witkowice	św. Marii Magdaleny|ul. Dożynkowa 35|31-234 Witkowice|woj. małopolskie	krakowska	Kraków-Krowodrza	małopolskie
św. Marii Magdaleny	Kraków Kosocice	św. Marii Magdaleny|ul. Niebieska 53|30-685 Kraków Kosocice|woj. małopolskie	krakowska	Kraków Prokocim	małopolskie
św. Marii Magdaleny	Zalas	św. Marii Magdaleny|Zalas 84|32-067 Zalas|woj. małopolskie	krakowska	Krzeszowice	małopolskie
św. Marii Magdaleny	Głogoczów	św. Marii Magdaleny|Głogoczów 74|32-444 Głogoczów|woj. małopolskie	krakowska	Mogilany	małopolskie
św. Marii Magdaleny	Kasina Wielka	św. Marii Magdaleny|Kasina Wielka 534|34-741 Kasina Wielka|woj. małopolskie	krakowska	Mszana Dolna	małopolskie
św. Marii Magdaleny	Trzebunia	św. Marii Magdaleny|Trzebunia k. Myślenic 165|32-438 Trzebunia|woj. małopolskie	krakowska	Pcim	małopolskie
św. Marii Magdaleny	Rabka Zdrój	św. Marii Magdaleny|ul. Orkana 8|34-700 Rabka Zdrój|woj. małopolskie	krakowska	Rabka	małopolskie
św. Marii Magdaleny	Wysoka	św. Marii Magdaleny|Wysoka 190|34-105 Wysoka|woj. małopolskie	krakowska	Wadowice Pónoc	małopolskie
św. Marii Magdaleny	Wawrzeńczyce	św. Marii Magdaleny|Wawrzeńczyce 388|32-125 Wawrzeńczyce|woj. małopolskie	krakowska	Wawrzeńczyce	małopolskie
św. Marii Magdaleny	Bogatynia	św. Marii Magdaleny|ul. Jasna 3b|59-916 Bogatynia|woj. dolnośląskie	legnicka	Bogatynia	dolnośląskie
św. Marii Magdaleny	Radzimów	św. Marii Magdaleny|Radzimów 7|59-975 Radzimów|woj. dolnośląskie	legnicka	Leśna	dolnośląskie
św. Marii Magdaleny	Wielichowo	św. Marii Magdaleny|ul. Szkolna 24|64-050 Wielichowo|woj. wielkopolskie	poznańska	Wolsztyn	wielkopolskie
